,group,group_package,group_label,group_description,permission,package,label,description,protectionLevel
175,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.doraemon,com.google.android.gsf,Google Catalogs,null,normal
176,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_FM_RADIO,android,null,null,signature|privileged
177,ungrouped,ungrouped,ungrouped,ungrouped,com.vzw.services.lc.ACCESS_VZW_ACCOUNT,com.verizon.mips.services,null,null,signature|privileged
178,ungrouped,ungrouped,ungrouped,ungrouped,com.qti.permission.AUDIO,org.codeaurora.ims,null,null,signature|privileged
179,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_VOICE_KEYPHRASES,android,null,null,signature|privileged
180,ungrouped,ungrouped,ungrouped,ungrouped,com.dropbox.android.service.ACCOUNT_INFO_ALARM_TRIGGER,com.dropbox.android,null,null,signature
181,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SHUTDOWN,android,null,null,signature|privileged
182,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CHANGE_COMPONENT_ENABLED_STATE,android,null,null,signature|privileged
183,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.CHECKIN_NOW,com.google.android.gms,null,null,signature
184,ungrouped,ungrouped,ungrouped,ungrouped,org.mozilla.firefox_fxaccount.permission.PER_ACCOUNT_TYPE,org.mozilla.firefox,null,null,signature
185,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_QUICK_SETTINGS_TILE,android,null,null,signature
186,ungrouped,ungrouped,ungrouped,ungrouped,com.fitbit.FitbitMobile.permission.SSO,com.fitbit.FitbitMobile,null,null,signature
187,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_TV_INPUT,android,null,null,signature|privileged
188,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.NFC,android,control Near Field Communication,"Allows the app to communicate with Near Field Communication (NFC) tags, cards, and readers.",normal
189,ungrouped,ungrouped,ungrouped,ungrouped,baidu.push.permission.WRITE_PUSHINFOPROVIDER.us.zoom.videomeetings,us.zoom.videomeetings,null,null,normal
190,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MODIFY_PARENTAL_CONTROLS,android,null,null,signature|privileged
191,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.INTERNAL_SYSTEM_WINDOW,android,null,null,signature
192,ungrouped,ungrouped,ungrouped,ungrouped,com.android.permission.DISABLE_INPUT_DEVICE,android,com.android.permission.DISABLE_INPUT_DEVICE,null,signature
193,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.PROCESS_PHONE_ACCOUNT_REGISTRATION,com.android.server.telecom,Process phone account registration,null,signature|privileged
194,ungrouped,ungrouped,ungrouped,ungrouped,com.airbnb.android.permission.MAPS_RECEIVE,com.airbnb.android,null,null,signature
195,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RETRIEVE_WINDOW_TOKEN,android,null,null,signature
196,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_AUTOFILL,android,null,null,signature
197,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.learning.permission.LAUNCH_IN_APP_PROXY,com.google.android.gms,null,null,signature
198,ungrouped,ungrouped,ungrouped,ungrouped,com.shakeshack.android.permission.C2D_MESSAGE,com.shakeshack.android,null,null,signature
199,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.NETWORK_SETTINGS,android,null,null,signature
200,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_AUDIO_POLICY,android,null,null,signature
201,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.writely,com.google.android.gsf,Google Docs,Allows apps to sign in to Google Docs using the account(s) stored on this Android device.,signature
202,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.SEND_ANDROID_PAY_DATA,com.google.android.gms,null,null,signature
203,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CHANGE_OVERLAY_PACKAGES,android,null,null,signature|privileged
204,ungrouped,ungrouped,ungrouped,ungrouped,com.spotify.music.permission.SECURED_BROADCAST,com.spotify.music,null,null,signature
205,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_WALLPAPER,android,null,null,signature|privileged
206,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.START_ANY_ACTIVITY,android,null,null,signature
207,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CAMERA_SEND_SYSTEM_EVENTS,android,null,null,signature|privileged
208,ungrouped,ungrouped,ungrouped,ungrouped,com.ticktick.task.permission.signature,com.ticktick.task,null,null,signature
209,ungrouped,ungrouped,ungrouped,ungrouped,com.piazza.android.permission.C2D_MESSAGE,com.piazza.android,null,null,signature
210,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.now.OPT_IN_WIZARD,com.google.android.googlequicksearchbox,null,null,signature|privileged
211,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.auth.authzen.permission.GCM_DEVICE_PROXIMITY,com.google.android.gms,null,null,signature
212,ungrouped,ungrouped,ungrouped,ungrouped,com.verizon.mips.services.install_status_permission,com.verizon.mips.services,null,null,signature|privileged
213,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,com.android.providers.downloads,Send download notifications.,Allows the app to send notifications about completed downloads. Malicious apps can use this to confuse other apps that download files.,signature
214,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googlequicksearchbox.permission.FINISH_GEL_ACTIVITY,com.google.android.googlequicksearchbox,null,null,signature
215,ungrouped,ungrouped,ungrouped,ungrouped,com.reddit.frontpage.permission.C2D_MESSAGE,com.reddit.frontpage,null,null,signature
216,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.GET_PROCESS_STATE_AND_OOM_SCORE,android,null,null,signature|privileged|development
217,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BROADCAST_SMS,android,null,null,signature
218,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CALL_PRIVILEGED,android,null,null,signature|privileged
219,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_INTENT_FILTER_VERIFIER,android,null,null,signature
220,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_APP_TOKENS,android,null,null,signature
221,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CHANGE_NETWORK_STATE,android,change network connectivity,Allows the app to change the state of network connectivity.,normal
222,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CAPTURE_TV_INPUT,android,null,null,signature|privileged
223,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MASTER_CLEAR,android,null,null,signature|privileged
224,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.FOREGROUND_SERVICE,android,run foreground service,Allows the app to make use of foreground services.,normal|instant
225,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.PERSISTENT_ACTIVITY,android,make app always run,Allows the app to make parts of itself persistent in memory. This can limit memory available to other apps slowing down the phone.,normal
226,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_TELECOM_CONNECTION_SERVICE,android,null,null,signature|privileged
227,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.WRITE_SYNC_SETTINGS,android,toggle sync on and off,"Allows an app to modify the sync settings for an account. For example, this can be used to enable sync of the People app with an account.",normal
228,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.providers.gsf.permission.WRITE_GSERVICES,com.google.android.gsf,Modify Google service configuration,Allows this app to modify Google service configuration data.,signature|privileged
229,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SET_DEBUG_APP,android,null,null,signature|privileged|development
230,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.REQUEST_COMPANION_USE_DATA_IN_BACKGROUND,android,use data in the background,This app can use data in the background. This may increase data usage.,normal
231,ungrouped,ungrouped,ungrouped,ungrouped,com.android.systemui.permission.SEND_ALERT_BROADCASTS,com.android.systemui,null,null,signature|preinstalled
232,ungrouped,ungrouped,ungrouped,ungrouped,org.npr.one.permission.C2D_MESSAGE,org.npr.one,null,null,signature
233,ungrouped,ungrouped,ungrouped,ungrouped,org.mozilla.firefox.permission.C2D_MESSAGE,org.mozilla.firefox,null,null,signature
234,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY,android,null,null,signature
235,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RESET_SHORTCUT_MANAGER_THROTTLING,android,null,null,signature
236,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.notebook,com.google.android.gsf,Google Notebook,Allows apps to sign in to Google Notebook using the account(s) stored on this Android device.,signature
237,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RESET_FINGERPRINT_LOCKOUT,android,null,null,signature
238,ungrouped,ungrouped,ungrouped,ungrouped,me.lyft.android.permission.C2D_MESSAGE,me.lyft.android,null,null,signature
239,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.walletnfcrel.permission.C2D_MESSAGE,com.google.android.apps.walletnfcrel,null,null,signature
240,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.STATSCOMPANION,android,null,null,signature
241,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RECEIVE_BOOT_COMPLETED,android,run at startup,Allows the app to have itself started as soon as the system has finished booting. This can make it take longer to start the phone and allow the app to slow down the overall phone by always running.,normal
242,ungrouped,ungrouped,ungrouped,ungrouped,com.gregoryscoffee.gregoryscoffee.android.app.permission.CHECK_IS_APP_OPEN,com.gregoryscoffee.gregoryscoffee.android.app,null,null,signature
243,ungrouped,ungrouped,ungrouped,ungrouped,com.qualcomm.permission.QCOM_DIAG,com.verizon.obdm_permissions,QCOM_DIAG,ACCESS_QCOM_DIAG,signature|privileged
244,ungrouped,ungrouped,ungrouped,ungrouped,com.Splitwise.SplitwiseMobile.permission.C2D_MESSAGE,com.Splitwise.SplitwiseMobile,null,null,signature
245,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.inputmethod.latin.permission.UPDATE_STICKER_INDEX,com.google.android.inputmethod.latin,null,null,signature
246,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.TRANSFER_WIFI_CREDENTIAL,com.google.android.gms,Transfer Wi-Fi credential,Allow an app to transfer a network's Wi-Fi credential to another device.,normal
247,ungrouped,ungrouped,ungrouped,ungrouped,com.facebook.katana.permission.CROSS_PROCESS_BROADCAST_MANAGER,com.facebook.katana,null,null,signature
248,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH,com.google.android.gsf,view configured accounts,Allows apps to see the usernames (email addresses) of the Google account(s) you have configured.,signature
249,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.LOOP_RADIO,android,null,null,signature|privileged
250,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.GLOBAL_SEARCH_CONTROL,android,null,null,signature
251,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SUBSCRIBED_FEEDS_READ,android,null,null,normal
252,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.NEARBY_START_DISCOVERER,com.google.android.gms,null,null,signature
253,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.auth.permission.POST_SIGN_IN_ACCOUNT,com.google.android.gms,null,null,signature
254,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_BIND_INSTANT_SERVICE,android,null,null,signature
255,ungrouped,ungrouped,ungrouped,ungrouped,com.airbnb.android.permission.JPUSH_MESSAGE,com.airbnb.android,null,null,signature
256,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES,com.google.android.gsf,access all Google services,Allows apps to sign in to ALL Google services using the account(s) stored on this Android device.,signature
257,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.PEERS_MAC_ADDRESS,android,null,null,signature|setup
258,ungrouped,ungrouped,ungrouped,ungrouped,com.instagram.android.permission.C2D_MESSAGE,com.instagram.android,null,null,signature
259,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.DEVICE_POWER,android,null,null,signature
260,ungrouped,ungrouped,ungrouped,ungrouped,nz.co.vista.android.movie.alamo.permission.C2D_MESSAGE,nz.co.vista.android.movie.alamo,null,null,signature
261,ungrouped,ungrouped,ungrouped,ungrouped,com.washingtonpost.android.permission.C2D_MESSAGE,com.washingtonpost.android,null,null,signature
262,ungrouped,ungrouped,ungrouped,ungrouped,com.amazon.CONTENT_PROVIDER_ACCESS,com.amazon.mShop.android.shopping,null,null,signature
263,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.providers.settings.permission.READ_GSETTINGS,com.google.android.gsf,Read Google settings,Allows this app to read Google settings.,signature
264,ungrouped,ungrouped,ungrouped,ungrouped,net.cybrook.trackview.permission.C2D_MESSAGE,net.cybrook.trackview,null,null,signature
265,ungrouped,ungrouped,ungrouped,ungrouped,com.lyft.android.prod.permission.auth.REQUEST_AUTHORIZATION_CODE,me.lyft.android,Log in using the Lyft passenger app,Log in using the Lyft passenger app,signature
266,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.enterprise.dmagent.permission.InvokeDMSecurityLogsServicePermission,com.google.android.apps.enterprise.dmagent,null,null,signature
267,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.cloudsave.BIND_EVENT_BROADCAST,com.google.android.gms,null,null,signature|privileged
268,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.game.notifications.permission.WRITE,com.google.android.play.games,null,null,signature
269,ungrouped,ungrouped,ungrouped,ungrouped,com.verizon.mips.services.DHC_FROM_MVDACTIVE,com.vzw.hss.myverizon,null,null,signature|privileged
270,ungrouped,ungrouped,ungrouped,ungrouped,com.android.vending.permission.C2D_MESSAGE,com.android.vending,null,null,signature
271,ungrouped,ungrouped,ungrouped,ungrouped,com.server.auditor.ssh.client.permission.C2D_MESSAGE,com.server.auditor.ssh.client,null,null,signature
272,ungrouped,ungrouped,ungrouped,ungrouped,com.qualcomm.qti.permission.USE_QTI_TELEPHONY_SERVICE,com.qualcomm.qti.telephonyservice,Permission to bind to QtiTelephonyService service,null,signature|privileged
273,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SET_TIME_ZONE,android,set time zone,Allows the app to change the phone's time zone.,signature|privileged
274,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.REMOVE_TASKS,android,null,null,signature
275,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.READ_PRINT_SERVICES,android,null,null,signature|preinstalled
276,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.ambientindication.permission.AMBIENT_INDICATION,com.android.systemui,null,null,signature|privileged
277,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_SUBSCRIPTION_PLANS,android,null,null,signature|privileged
278,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googlequicksearchbox.permission.PAUSE_HOTWORD,com.google.android.googlequicksearchbox,null,null,signature|privileged
279,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.EXPAND_STATUS_BAR,android,expand/collapse status bar,Allows the app to expand or collapse the status bar.,normal
280,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.setupwizard.READ_DEFERRED_SETUP_REASON,com.google.android.setupwizard,null,null,signature|privileged
281,ungrouped,ungrouped,ungrouped,ungrouped,com.android.launcher.permission.UNINSTALL_SHORTCUT,android,uninstall shortcuts,Allows the application to remove Homescreen shortcuts without user intervention.,normal
282,ungrouped,ungrouped,ungrouped,ungrouped,com.seatgeek.android.permission.C2D_MESSAGE,com.seatgeek.android,null,null,signature
283,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS,android,manage profile and device owners,Allows apps to set the profile owners and the device owner.,signature
284,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.REPORT_TAP,com.google.android.gms,null,null,signature
285,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android,ask to ignore battery optimizations,Allows an app to ask for permission to ignore battery optimizations for that app.,normal
286,ungrouped,ungrouped,ungrouped,ungrouped,com.taskrabbit.droid.consumer.permission.RECEIVE_ADM_MESSAGE,com.taskrabbit.droid.consumer,null,null,signature
287,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.READ_PROFILE,android,null,null,normal
288,ungrouped,ungrouped,ungrouped,ungrouped,com.haleandhearty.haleandhearty.android.app.permission.C2D_MESSAGE,com.haleandhearty.haleandhearty.android.app,null,null,signature
289,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_VOICE_INTERACTION,android,null,null,signature
290,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gtalkservice.permission.SEND_HEARTBEAT,com.google.android.gsf,Send heartbeat to Google Talk server,Can send a heartbeat packet to the Google Talk server to ensure the health of the connection.,signature|privileged
291,ungrouped,ungrouped,ungrouped,ungrouped,com.xodo.pdf.reader.permission.C2D_MESSAGE,com.xodo.pdf.reader,null,null,signature
292,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.marvin.feedback.permission.TALKBACK,com.google.android.marvin.talkback,Control TalkBack,Permission to send gestures to TalkBack and resume spoken feedback.,signature
293,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BLUETOOTH,android,pair with Bluetooth devices,"Allows the app to view the configuration of the Bluetooth on the phone, and to make and accept connections with paired devices.",normal
294,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BROADCAST_WAP_PUSH,android,null,null,signature
295,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CHANGE_WIFI_MULTICAST_STATE,android,allow Wi-Fi Multicast reception,"Allows the app to receive packets sent to all devices on a Wi-Fi network using multicast addresses, not just your phone. It uses more power than the non-multicast mode.",normal
296,ungrouped,ungrouped,ungrouped,ungrouped,com.vzw.services.lc.SWITCH_ENV,com.verizon.mips.services,null,null,signature
297,ungrouped,ungrouped,ungrouped,ungrouped,com.panera.bread.permission.C2D_MESSAGE,com.panera.bread,null,null,signature
298,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.onetimeinitializer.permission.ONE_TIME_INITIALIZED,com.google.android.onetimeinitializer,null,null,signature
299,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.DVB_DEVICE,android,null,null,signature|privileged
300,ungrouped,ungrouped,ungrouped,ungrouped,com.cisco.android.nchs.networkstateprovider.permission.READ_PROVIDER,com.cisco.anyconnect.vpn.android.avf,Access AnyConnect network state provider,Allows access to AnyConnect network state and profile information.,dangerous
301,ungrouped,ungrouped,ungrouped,ungrouped,com.booking.permission.RECEIVER,com.booking,null,null,signature
302,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.messages.rcs.PROVISIONING_EVENT,com.google.android.apps.messaging,null,null,normal
303,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.PERFORM_SIM_ACTIVATION,android,null,null,signature|privileged
304,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.OPEN_APPLICATION_DETAILS_OPEN_BY_DEFAULT_PAGE,android,null,null,signature
305,ungrouped,ungrouped,ungrouped,ungrouped,com.android.alarm.permission.SET_ALARM,android,set an alarm,Allows the app to set an alarm in an installed alarm clock app. Some alarm clock apps may not implement this feature.,normal
306,ungrouped,ungrouped,ungrouped,ungrouped,amazon.permission.ALEXA_LISTEN,com.amazon.dee.app,null,null,signature|privileged
307,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CAPTURE_AUDIO_HOTWORD,android,null,null,signature|privileged
308,ungrouped,ungrouped,ungrouped,ungrouped,com.facebook.katana.permission.RECEIVE_ADM_MESSAGE,com.facebook.katana,null,null,signature
309,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.WRITE_MEDIA_STORAGE,android,null,null,signature|privileged
310,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CONTROL_DISPLAY_SATURATION,android,null,null,signature|privileged
311,ungrouped,ungrouped,ungrouped,ungrouped,com.android.voicemail.permission.READ_VOICEMAIL,android,null,null,signature|privileged
312,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.WRITE_BLOCKED_NUMBERS,android,null,null,signature
313,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_AMBIENT_LIGHT_STATS,android,null,null,signature|privileged|development
314,ungrouped,ungrouped,ungrouped,ungrouped,com.android.euicc.permission.SIDECAR_BROADCAST,com.google.android.euicc,com.android.euicc.permission.SIDECAR_BROADCAST,null,signature
315,ungrouped,ungrouped,ungrouped,ungrouped,com.qualcomm.permission.USE_QCRIL_MSG_TUNNEL,com.qualcomm.qcrilmsgtunnel,null,null,signature|privileged
316,ungrouped,ungrouped,ungrouped,ungrouped,com.starbucks.mobilecard.permission.ACCESS_PERMISSION,com.starbucks.mobilecard,null,null,signature
317,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SET_ANIMATION_SCALE,android,null,null,signature|privileged|development
318,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.AD_ID_NOTIFICATION,com.google.android.gms,Advertising ID notification,Allow an app to receive a notification when the advertising ID or limit ad tracking preference of the user is updated.,normal
319,ungrouped,ungrouped,ungrouped,ungrouped,com.android.vending.setup.PLAY_SETUP_SERVICE,com.android.vending,null,null,normal
320,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.WATCH_APPOPS,android,null,null,signature
321,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.GET_TASKS,android,retrieve running apps,Allows the app to retrieve information about currently and recently running tasks. This may allow the app to discover information about which applications are used on the device.,normal
322,ungrouped,ungrouped,ungrouped,ungrouped,com.vzw.hss.myverizon.permission.C2D_MESSAGE,com.vzw.hss.myverizon,null,null,signature
323,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_CACHE_QUOTA_SERVICE,android,null,null,signature
324,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BROADCAST_NETWORK_PRIVILEGED,android,null,null,signature|privileged
325,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_SURFACE_FLINGER,android,null,null,signature
326,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.SUBSCRIBED_FEEDS_WRITE,android,null,null,normal
327,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.AUTHENTICATE_ACCOUNTS,android,null,null,normal
328,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.INTERNET,android,have full network access,"Allows the app to create network sockets and use custom network protocols. The browser and other applications provide means to send data to the internet, so this permission is not required to send data to the internet.",normal|instant
329,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BIND_RESOLVER_RANKER_SERVICE,android,null,null,signature
330,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.TV_INPUT_HARDWARE,android,null,null,signature|privileged
331,ungrouped,ungrouped,ungrouped,ungrouped,com.android.vending.INTENT_VENDING_ONLY,com.google.android.gsf,Send broadcasts to Android Market.,Can send broadcasts to Android Market requesting app installation and removal.,signature
332,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.knol,com.google.android.gsf,Knol,Allows apps to sign in to Knol using the account(s) stored on this Android device.,signature
333,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.mail,com.google.android.gsf,Google mail,Allows apps to sign in to Google mail services using the account(s) stored on this Android device.,signature
334,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.news,com.google.android.gsf,Google News,Allows apps to sign in to Google News using the account(s) stored on this Android device.,signature
335,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.talk,com.google.android.gsf,Google Talk,Allows apps to sign in to Google Talk using the account(s) stored on this Android device.,signature
336,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.wifi,com.google.android.gsf,Google Wi-Fi,Allows apps to sign in to Google Wi-Fi using the account(s) stored on this Android device.,signature
337,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.googleapps.permission.GOOGLE_AUTH.wise,com.google.android.gsf,Google Spreadsheets,Allows apps to sign in to Google Spreadsheets using the account(s) stored on this Android device.,signature
338,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.TRANSMIT_IR,android,transmit infrared,Allows the app to use the phone's infrared transmitter.,normal
339,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.C2D_MESSAGE,com.google.android.gms,null,null,signature
340,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.RETRIEVE_WINDOW_CONTENT,android,null,null,signature|privileged
341,ungrouped,ungrouped,ungrouped,ungrouped,com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN,com.google.android.gms,null,null,signature
342,ungrouped,ungrouped,ungrouped,ungrouped,com.android.permission.CONNMO_SETTINGS,com.android.sdm.plugins.connmo,null,null,signature|privileged
343,ungrouped,ungrouped,ungrouped,ungrouped,com.breel.wallpapers.notifications,com.android.systemui,null,null,normal
344,ungrouped,ungrouped,ungrouped,ungrouped,com.skype.raider.permission.ALARM_MANAGER,com.skype.raider,null,null,signature|privileged
345,ungrouped,ungrouped,ungrouped,ungrouped,com.facebook.orca.permission.CROSS_PROCESS_BROADCAST_MANAGER,com.facebook.orca,null,null,signature
346,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.REORDER_TASKS,android,reorder running apps,Allows the app to move tasks to the foreground and background. The app may do this without your input.,normal
347,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.ACCESS_BROADCAST_RADIO,android,null,null,signature|privileged
348,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.WRITE_VALUABLES_IMAGES_DO_NOT_USE,com.google.android.apps.walletnfcrel,null,null,signature
349,ungrouped,ungrouped,ungrouped,ungrouped,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android,null,null,normal
350,ungrouped,ungrouped,ungrouped,ungrouped,com.facebook.katana.permission.C2D_MESSAGE,com.facebook.katana,null,null,signature
351,ungrouped,ungrouped,ungrouped,ungrouped,com.microsoft.emmx.permission.C2D_MESSAGE,com.microsoft.emmx,null,null,signature
352,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.work.oobconfig.ACCESS_FILES,com.google.android.apps.work.oobconfig,null,null,signature
353,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.GET_INTENT_SENDER_INTENT,android,null,null,signature
354,ungrouped,ungrouped,ungrouped,ungrouped,com.verizon.messaging.vzmsgs.permission.MAPS_RECEIVE,com.verizon.messaging.vzmsgs,null,null,signature
355,ungrouped,ungrouped,ungrouped,ungrouped,com.android.chrome.permission.CHILD_SERVICE,com.android.chrome,null,null,signature
356,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.gms.permission.PHENOTYPE_OVERRIDE_FLAGS,com.google.android.gms,null,null,signature
357,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.apps.gcs.permission.BROADCAST_NETWORK_SCORES,com.google.android.apps.gcs,broadcast network scores,null,signature
358,ungrouped,ungrouped,ungrouped,ungrouped,com.google.android.videos.permission.C2D_MESSAGE,com.google.android.videos,null,null,signature
359,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND,android,run in the background,This app can run in the background. This may drain battery faster.,normal
360,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.BLUETOOTH_ADMIN,android,access Bluetooth settings,"Allows the app to configure the local Bluetooth phone, and to discover and pair with remote devices.",normal
361,ungrouped,ungrouped,ungrouped,ungrouped,android.permission.CONTROL_VPN,android,null,null,signature|privileged
